appid,maxccu,success_class,suc_class,followers
1493340,2,F,0,10
1496120,1,F,0,7
1485940,2,F,0,30
1498890,1,F,0,8
1482420,1,F,0,9
1488020,1,F,0,11
1499810,1,F,0,20
1504030,2,F,0,7
1512170,1,F,0,3
1480260,2,F,0,31
1509330,1,F,0,5
1410740,2,F,0,32
1506430,2,F,0,9
1495130,3,F,0,9
1503880,2,F,0,44
1509470,1,F,0,3
1509400,2,F,0,11
1510370,2,F,0,67
1511500,1,F,0,20
1511110,2,F,0,6
1511610,1,F,0,14
1479100,1,F,0,16
1511490,1,F,0,22
1365540,2,F,0,8
1088800,2,F,0,28
272920,2,F,0,1460
447540,2,F,0,81
463120,16,F,0,86
486760,1,F,0,26
527360,1,F,0,45
527040,2,F,0,59
502990,2,F,0,175
538700,17,F,0,186
541770,1,F,0,132
438770,3,F,0,211
566170,1,F,0,81
413350,1,F,0,50
602180,3,F,0,627
595470,2,F,0,32
616860,3,F,0,31
626500,1,F,0,24
631950,2,F,0,80
652060,2,F,0,35
666060,2,F,0,126
650340,1,F,0,24
672770,1,F,0,94
655640,1,F,0,45
677010,2,F,0,45
666080,2,F,0,160
686100,2,F,0,28
693280,1,F,0,36
682010,2,F,0,56
688750,2,F,0,180
674010,3,F,0,297
699370,1,F,0,84
671850,2,F,0,62
709480,3,F,0,48
711460,1,F,0,37
346760,5,F,0,40
751870,1,F,0,49
749650,1,F,0,28
659160,2,F,0,34
698600,11,F,0,72
761930,2,F,0,33
718990,1,F,0,55
766460,1,F,0,76
751160,3,F,0,26
770560,3,F,0,228
636360,8,F,0,42
642680,1,F,0,26
777860,1,F,0,21
755290,3,F,0,109
745280,3,F,0,41
777620,2,F,0,28
775570,2,F,0,27
793250,2,F,0,52
800840,1,F,0,21
808020,2,F,0,22
800980,1,F,0,33
818430,1,F,0,33
816570,1,F,0,12
823670,1,F,0,57
754380,2,F,0,68
456150,1,F,0,107
856730,1,F,0,24
855160,2,F,0,42
870010,1,F,0,17
867460,1,F,0,10
886610,2,F,0,41
878540,2,F,0,47
890680,1,F,0,41
911280,1,F,0,15
910850,1,F,0,38
910290,2,F,0,20
923120,2,F,0,72
924390,1,F,0,16
934590,1,F,0,6
867770,2,F,0,72
940600,2,F,0,20
941980,2,F,0,13
943080,1,F,0,22
890200,1,F,0,24
733040,1,F,0,9
945820,1,F,0,30
951070,1,F,0,12
944420,1,F,0,19
480710,1,F,0,24
953760,1,F,0,40
964190,2,F,0,26
975220,1,F,0,27
984230,1,F,0,11
965970,6,F,0,52
992480,373,F,0,16
989110,2,F,0,64
1003150,3,F,0,422
1006470,2,F,0,48
998950,1,F,0,18
1020360,3,F,0,59
1019080,6,F,0,30
1027290,1,F,0,6
727010,2,F,0,57
923340,2,F,0,32
1031560,3,F,0,17
1044300,1,F,0,21
1058730,2,F,0,14
1067460,4,F,0,27
1066440,2,F,0,179
1030330,1,F,0,20
1065050,2,F,0,73
1036010,2,F,0,80
1062210,1,F,0,11
1085210,1,F,0,14
824220,1,F,0,13
1095990,1,F,0,7
1082780,1,F,0,33
1090520,2,F,0,82
1092190,2,F,0,31
1103690,1,F,0,183
1092180,3,F,0,66
1103300,2,F,0,13
1134150,2,F,0,29
1112950,1,F,0,20
1077570,5,F,0,18
973720,2,F,0,28
1125690,1,F,0,25
1126100,2,F,0,79
1103060,1,F,0,17
1325030,5,F,0,27
1144670,1,F,0,15
1098430,3,F,0,18
1142000,1,F,0,17
1147620,1,F,0,32
1150270,1,F,0,7
1143340,1,F,0,23
1141750,1,F,0,24
1149200,2,F,0,32
1149910,1,F,0,39
1112120,2,F,0,15
1116350,2,F,0,224
1167350,1,F,0,33
1156200,2,F,0,61
1153860,2,F,0,31
1172000,3,F,0,14
1179150,2,F,0,11
772110,3,F,0,9
1174050,5,F,0,123
1174890,2,F,0,20
1180820,1,F,0,6
1178020,1,F,0,26
1189970,2,F,0,12
1201620,3,F,0,8
1155500,2,F,0,80
998530,4,F,0,95
1211320,1,F,0,35
473550,2,F,0,19
1211730,2,F,0,65
1141340,1,F,0,26
1217850,2,F,0,16
1194520,1,F,0,4378
1235980,2,F,0,19
1227150,2,F,0,19
1233120,2,F,0,111
1230790,1,F,0,24
1184070,2,F,0,35
1236330,2,F,0,65
1233600,1,F,0,8
1236920,1,F,0,25
1245980,1,F,0,22
1245550,2,F,0,64
1241250,4,F,0,77
1240490,1,F,0,21
1261650,2,F,0,14
1238630,1,F,0,16
1249620,1,F,0,20
1268730,2,F,0,12
1273380,1,F,0,35
1284740,1,F,0,62
1282770,2,F,0,62
1327450,1,F,0,13
1095280,2,F,0,26
1286490,2,F,0,90
1332440,2,F,0,38
1283760,2,F,0,46
1322550,2,F,0,94
1325340,1,F,0,8
1349340,4,F,0,27
1355830,1,F,0,11
1366680,2,F,0,34
1355470,1,F,0,21
1365920,8,F,0,30
1375520,1,F,0,17
1374590,1,F,0,24
1377140,1,F,0,22
1380110,2,F,0,41
1386560,3,F,0,16
1382860,2,F,0,21
1398620,2,F,0,8
1397690,2,F,0,10
1380250,3,F,0,37
1388380,1,F,0,16
1380510,3,F,0,26
1358940,2,F,0,96
1412880,1,F,0,32
1378320,8,F,0,34
1415300,2,F,0,11
1408550,3,F,0,23
1411490,1,F,0,21
1186770,3,F,0,38
1419200,6,F,0,18
1433970,4,F,0,22
1417740,1,F,0,40
1445110,1,F,0,72
1448400,3,F,0,40
1270500,1,F,0,14
1440680,1,F,0,91
1461400,2,F,0,12
1410000,1,F,0,16
1495480,1,F,0,13
1495430,2,F,0,11
1495450,2,F,0,15
1437060,1,F,0,61
1506420,3,F,0,18
1509640,3,F,0,64
36900,1,F,0,108
374970,3,F,0,1566
472740,1,F,0,105
550600,4,F,0,123
537170,1,F,0,48
498370,2,F,0,21
616650,1,F,0,0
664600,2,F,0,46
640600,2,F,0,0
671490,2,F,0,45
680140,3,F,0,75
674530,2,F,0,36
690860,1,F,0,20
709610,2,F,0,52
716310,2,F,0,19
687640,2,F,0,111
676880,2,F,0,39
701680,2,F,0,41
740060,2,F,0,8
699570,1,F,0,87
719970,11,F,0,139
762120,2,F,0,37
711350,6,F,0,27
776970,2,F,0,55
787140,2,F,0,28
783960,1,F,0,57
779840,2,F,0,72
772300,3,F,0,41
751740,4,F,0,32
813280,2,F,0,66
807930,2,F,0,62
820660,2,F,0,29
834210,2,F,0,20
849870,28,F,0,42
704940,2,F,0,15
862500,2,F,0,67
871320,2,F,0,38
850550,1,F,0,62
862190,2,F,0,87
884500,4,F,0,54
876170,2,F,0,66
888030,1,F,0,14
916260,1,F,0,14
907220,1,F,0,66
805480,2,F,0,21
790900,4,F,0,319
946810,2,F,0,12
946790,1,F,0,23
961710,1,F,0,30
962070,1,F,0,22
964450,5,F,0,14
965730,2,F,0,103
935940,4,F,0,8
984580,3,F,0,940
986320,3,F,0,412
988070,3,F,0,170
992360,2,F,0,22
1001760,2,F,0,49
1003650,2,F,0,22
988920,7,F,0,37
1015150,1,F,0,39
1025650,2,F,0,23
1028830,2,F,0,39
1022170,2,F,0,73
1046560,1,F,0,21
1044460,1,F,0,341
1059620,5,F,0,38
1050910,2,F,0,18
1052010,2,F,0,21
837220,5,F,0,86
1082990,1,F,0,13
1091100,1,F,0,11
1042860,2,F,0,30
1097600,1,F,0,30
1051320,2,F,0,20
1086220,2,F,0,14
1103650,2,F,0,53
1091220,2,F,0,45
909500,2,F,0,21
1117470,4,F,0,262
1123410,2,F,0,39
962860,1,F,0,25
1153550,2,F,0,101
1153110,3,F,0,13
1156030,1,F,0,9
1156570,2,F,0,30
1162330,1,F,0,22
1057730,2,F,0,27
1040910,2,F,0,23
1189020,2,F,0,47
1166510,2,F,0,14
1092300,4,F,0,55
906250,4,F,0,30
1192060,2,F,0,29
1234590,1,F,0,79
1231760,3,F,0,10
